"964-1" "964-10" "964-11" "964-12" "964-13" "964-14" "964-15" "964-2" "964-3" "964-4" "964-5" "964-6"
"100041505" 0 0 0 0 0 0 0 0 0 1 0 0
"100041515" 18 4 10 6 13 8 8 23 9 0 2 29
"100041530" 8 2 8 8 4 4 4 5 2 2 0 17
"100041546" 2357 498 670 583 323 576 814 2902 408 433 1377 2730
"100041548" 0 0 0 0 0 0 0 0 0 0 0 0
"100041550" 0 0 0 0 0 0 0 0 0 0 0 0
"100041554" 0 0 0 0 0 0 0 0 0 0 0 0
"100041566" 0 0 0 0 0 0 0 0 0 0 0 0
"100041574" 2383 744 2208 1946 856 1291 1637 3965 1464 1440 1644 7480
"100041576" 1000 367 777 755 404 538 721 2073 578 604 630 2593
"100041579" 0 3 0 4 0 0 2 5 3 4 4 2
"100041581" 0 0 1 0 0 0 3 0 0 0 0 1
"100041585" 112 45 115 118 59 79 116 316 111 121 105 436
"100041586" 62 3 53 59 23 68 46 153 33 44 58 192
"100041596" 37 22 41 41 4 8 24 96 24 51 29 148
"100041621" 411 127 271 344 195 224 288 637 190 256 270 1597
"100041639" 55 40 81 8 36 57 32 99 34 72 24 227
"100041658" 33 12 40 10 8 13 47 62 8 31 16 13
"100041677" 2788 775 1867 2055 694 1268 1562 4659 1484 1261 1373 5701
"100041678" 13 0 13 14 10 0 7 27 17 0 9 21
"100041687" 0 0 0 0 0 0 0 0 0 0 0 3
"100041688" 0 0 0 0 0 0 0 0 0 0 0 0
"100041722" 11 4 1 5 1 0 11 15 24 3 15 31
"100041724" 0 0 0 0 0 0 0 1 1 0 1 5
"100041759" 0 0 0 0 0 0 0 0 0 0 0 0
"100041774" 0 0 0 0 0 0 0 0 0 0 0 0
"100041787" 0 0 0 0 0 0 0 0 0 0 0 0
"100041811" 0 0 0 0 0 0 0 0 0 0 0 0
"100041840" 0 0 0 0 0 3 0 0 0 0 0 0
"100041874" 13 2 9 8 0 4 4 14 6 2 4 16
"100041890" 0 0 0 0 0 0 0 0 0 0 0 0
"100041895" 0 0 0 0 0 0 0 0 0 0 0 0
"100041952" 0 0 0 0 0 0 0 0 0 0 0 0
"100041953" 140 36 119 99 42 53 62 260 68 80 71 334
"100041965" 7302 3096 6338 6831 4014 3193 5460 11373 3025 3961 4552 24491
"100041979" 222 64 165 167 69 79 149 496 108 108 143 614
"100042049" 32 10 25 12 7 27 16 61 20 22 16 86
"100042055" 1 0 1 0 0 0 0 3 0 1 0 2
"100042065" 1 0 0 0 0 0 0 0 0 2 0 5
"100042109" 34 10 27 34 0 25 27 106 34 40 63 98
"100042149" 9 0 0 2 0 3 3 16 3 0 9 8
"100042150" 97 17 118 47 40 24 58 142 56 56 42 313
"100042165" 1451 579 1310 1203 553 883 1088 3166 1191 1234 1189 4574
"100042173" 10 3 3 10 5 5 3 16 4 4 5 32
"100042175" 58 14 13 90 0 45 14 89 78 54 46 161
"100042254" 0 0 0 0 0 0 0 0 0 0 0 0
"100042275" 0 0 0 0 0 0 0 0 0 0 0 0
"100042295" 0 0 0 0 0 0 6 8 0 0 0 7
"100042314" 0 0 0 1 0 0 0 0 0 0 0 0
"100042342" 0 0 0 0 0 0 1 0 0 0 0 0
"100042415" 0 0 0 0 0 3 0 1 0 0 4 0
"100042428" 0 0 0 0 0 0 0 0 0 0 0 0
"100042437" 1 0 0 0 0 1 0 0 0 0 0 0
"100042450" 47 7 34 39 26 40 31 92 38 38 31 153
"100042480" 896 454 994 1015 323 461 919 2051 619 709 708 2522
"100042493" 0 0 0 0 0 2 0 3 0 0 0 0
"100042499" 4 0 3 3 1 2 1 4 0 3 6 12
"100042514" 27 23 39 10 15 12 29 87 15 32 4 85
"100042555" 40 3 7 3 0 2 10 67 15 6 15 84
"100042584" 76 37 84 56 25 57 43 150 63 74 60 193
"100042591" 58 19 64 39 13 29 32 94 45 36 33 132
"100042636" 0 0 0 0 0 0 0 0 0 0 0 0
"100042653" 0 0 0 0 0 0 0 0 0 0 0 0
"100042690" 27 5 26 21 5 17 31 68 34 36 24 72
"100042781" 0 0 0 0 0 0 0 0 0 0 0 0
"100042782" 0 0 0 0 0 0 0 0 0 0 1 0
"100042784" 922 310 682 795 393 405 670 1672 675 608 537 2618
"100042807" 33 9 39 31 15 16 25 53 15 16 25 91
"100042810" 0 0 0 0 1 1 0 0 1 0 2 0
"100042840" 0 0 0 0 0 0 0 0 0 0 0 0
"100042848" 0 0 0 0 0 0 0 0 0 0 0 0
"100042855" 0 0 0 0 0 0 0 1 0 0 0 1
"100042856" 32372 8276 16422 17758 6880 10970 12613 54620 15677 10000 15695 55049
"100042891" 0 0 0 0 0 0 0 0 0 0 0 0
"100042894" 0 0 0 0 0 0 0 4 0 0 0 0
"100042921" 0 0 0 0 0 0 0 0 0 0 0 0
"100042922" 0 0 0 0 0 0 0 0 0 0 0 0
"100042927" 0 0 0 0 0 0 0 0 0 0 0 0
"100042931" 0 0 0 0 0 0 0 0 0 0 0 0
"100042943" 0 0 0 0 0 0 0 0 0 0 1 0
"100042948" 352 94 333 307 142 159 198 586 223 179 219 875
"100042964" 0 0 0 0 0 0 0 0 0 0 0 0
"100042966" 0 0 0 0 0 0 0 0 0 0 0 0
"100042968" 0 1 0 0 1 0 0 0 0 0 0 0
"100042996" 0 0 0 0 0 0 0 0 0 0 0 0
"100043013" 0 0 0 0 0 0 0 0 0 0 0 0
"100043016" 2 5 11 3 0 1 4 0 1 3 3 7
"100043019" 0 0 0 0 0 0 0 0 0 0 0 0
"100043033" 0 0 0 0 0 0 0 0 0 0 0 0
"100043034" 30 3 13 3 23 5 10 58 35 8 0 15
"100043037" 0 0 0 0 0 0 0 0 0 0 0 0
"100043043" 0 0 0 0 0 0 0 0 0 0 0 0
"100043057" 1 2 6 1 2 1 2 8 0 4 6 15
"100043058" 0 0 0 0 0 0 0 0 0 0 0 0
"100043061" 0 0 0 0 0 0 0 0 0 0 0 0
"100043067" 0 0 0 0 1 0 2 3 0 1 0 0
"100043079" 0 0 0 0 0 0 0 0 0 0 0 0
"100043083" 0 0 0 0 0 0 0 0 0 0 0 0
"100043088" 1 0 0 1 0 0 1 8 0 1 1 2
"100043101" 0 0 0 0 0 0 0 0 0 0 0 0
"100043103" 0 0 0 0 0 0 0 0 0 0 0 0
"100043108" 0 0 0 0 0 0 0 0 0 0 0 2
"100043123" 802 221 502 467 334 263 318 1298 206 368 225 1552
"100043125" 526 118 319 196 193 140 193 747 199 236 183 825
"100043133" 876 313 704 623 310 326 539 1456 404 468 516 2486
"100043180" 0 0 0 0 0 1 0 0 1 0 0 0
"100043188" 0 0 0 0 0 0 0 0 0 0 0 0
"100043194" 0 0 0 0 0 0 0 0 0 0 0 0
"100043200" 0 0 0 0 0 0 0 0 0 0 0 0
"100043216" 32 9 42 23 8 16 21 44 17 28 31 101
"100043224" 0 0 0 0 0 0 0 0 0 1 0 0
"100043229" 3 4 1 2 0 1 1 6 0 1 2 6
"100043231" 0 0 0 0 0 0 0 0 0 0 0 0
"100043247" 0 0 0 0 0 0 0 0 0 0 0 0
"100043254" 3 2 5 6 2 0 3 2 3 9 3 24
"100043272" 3465 1432 3309 3778 1703 2056 2737 6993 2156 2578 2593 12000
"100043300" 0 0 0 0 0 0 0 0 0 0 0 0
"100043314" 365 60 189 242 116 134 173 703 192 132 153 634
"100043326" 0 0 0 0 0 0 0 0 0 0 0 0
"100043332" 185 88 200 213 92 124 144 299 141 142 116 602
"100043381" 10613 3017 8424 8578 3135 5074 6874 20302 6261 5400 6396 25100
"100043387" 2052 700 1664 1774 859 1039 1419 3778 1024 1130 1173 5844
"100043434" 20 10 16 13 3 12 12 31 12 19 25 69
"100043456" 1 0 1 0 2 2 2 0 0 0 1 5
"100043468" 2450 1060 2197 2433 1100 1322 1791 5296 1511 1529 1703 7047
"100043474" 0 0 0 0 0 0 0 0 0 0 0 0
"100043497" 17 2 13 11 5 8 14 14 0 0 14 6
"100043507" 0 0 0 1 0 0 0 0 0 2 0 4
"100043523" 0 0 0 1 0 0 0 0 0 0 0 0
"100043536" 0 0 0 0 0 0 0 0 0 0 0 0
"100043566" 0 0 0 0 0 0 0 0 0 0 0 0
"100043569" 1 1 0 0 0 0 0 3 1 0 2 6
"100043580" 169 52 144 164 71 106 175 347 137 130 132 536
"100043597" 21255 9377 19243 18630 9046 11171 16274 42042 13431 15137 15320 72982
"100043614" 0 0 0 1 0 1 0 0 0 0 0 0
"100043627" 0 0 0 0 0 0 0 0 0 0 0 0
"100043636" 4466 1411 3338 3189 1407 1771 2977 7595 2407 2422 2647 11727
"100043684" 15 3 4 1 29 13 16 25 30 2 5 26
"100043686" 15 3 4 1 29 13 16 25 30 2 5 26
"100043688" 15 3 4 1 29 13 16 25 30 2 5 26
"100043757" 94 14 51 52 31 26 34 154 53 31 43 182
"100043766" 99 35 78 72 24 46 65 146 59 61 62 277
"100043772" 751 290 481 545 269 400 621 1631 441 405 484 1844
"100043813" 121 50 128 134 47 66 91 237 86 87 92 355
"100043827" 0 0 0 0 0 0 0 0 0 0 0 0
"100043836" 1 0 3 0 0 0 0 0 0 0 0 1
"100043842" 0 0 0 0 0 0 0 0 0 0 0 0
"100043856" 0 0 0 0 0 0 0 0 0 0 0 0
"100043860" 0 0 0 0 0 0 0 0 0 0 0 0
"100043861" 2 0 9 6 1 2 4 7 3 2 0 14
"100043868" 2 1 0 0 0 2 0 2 2 1 5 6
"100043899" 0 0 0 0 0 0 0 0 2 1 0 9
"100043911" 2098 638 1850 1627 824 1140 1521 3917 1583 1517 1494 6026
"100044509" 67 24 76 74 51 61 65 104 68 71 63 323
"100045792" 51 18 47 39 22 26 23 80 57 61 46 150
"100048534" 400 155 296 327 145 208 209 650 220 292 231 1187
"100048658" 71 18 27 53 19 44 22 93 44 24 37 140
"100048884" 0 35 50 6 12 33 133 93 2 30 79 75
"100048885" 26 22 18 10 2 15 45 63 23 21 23 23
"100061" 58 29 54 46 14 48 52 126 52 52 58 170
"100066" 0 0 0 0 0 0 0 0 0 0 0 3
"100072" 1815 765 1680 1908 805 1120 1305 3542 1181 1341 1246 5953
"100073351" 961 319 669 641 284 480 731 1901 535 513 611 2820
"100087" 6502 2789 5640 6080 2991 3059 4524 11548 3169 4059 3735 21938
"100088" 14460 6555 12602 13345 6847 6931 10714 28431 7798 10264 8545 50362
"100090" 1701 621 1391 1569 709 810 1154 3015 1004 1081 1051 5133
"100101806" 9791 3681 7520 9215 4122 5501 7213 18608 6064 6099 6569 30202
"100101807" 8696 3901 8684 9397 4168 5627 7172 17070 5201 6380 6092 30365
"100101919" 36 12 34 26 22 29 36 91 38 21 37 133
"100102" 294 81 145 160 84 82 256 612 139 150 168 1041
"100113398" 356 178 414 346 167 215 253 611 141 280 199 1305
"100121" 8523 3690 6782 8382 3581 4333 5576 14886 4458 4926 5692 24538
"100125586" 17 6 13 8 36 89 36 37 88 65 5 156
"100126226" 12 2 37 6 3 5 11 36 11 6 8 164
"100126765" 0 0 0 0 0 0 0 0 0 0 0 0
"100126766" 1 1 0 1 1 2 1 0 0 1 0 1
"100126768" 0 0 0 0 0 0 0 0 0 0 0 0
"100126773" 0 0 0 0 0 0 0 0 0 0 0 0
"100126774" 0 0 0 0 0 0 0 0 0 0 0 0
"100126775" 0 0 0 0 0 0 0 0 0 0 0 0
"100126776" 0 0 0 0 0 0 0 0 0 0 0 0
"100126777" 0 0 0 0 0 0 0 0 0 0 0 0
"100126778" 76 35 38 30 170 265 246 421 83 87 49 281
"100126779" 0 0 0 0 0 0 0 0 0 0 0 0
"100126824" 1038 579 1406 1289 391 802 1121 2228 610 881 574 4617
"100129" 7205 2569 4040 8619 2952 2834 3830 11991 4860 4525 5168 23704
"100134861" 121 53 37 116 86 10 80 94 80 47 97 369
"100135654" 0 0 0 0 0 0 0 0 0 0 0 0
"100135657" 0 0 0 0 0 0 0 0 0 0 0 0
"100141474" 90 15 63 71 27 40 57 148 92 61 74 239
"100151693" 9 0 2 3 2 2 3 9 9 5 0 10
"100155" 5 2 1 11 1 1 3 21 3 4 8 20
"100163" 2014 718 1339 1718 857 838 1138 3686 1076 1239 1229 5452
"100169" 8493 4265 8135 10825 3935 6589 7691 18848 5563 6289 6924 31806
"100169864" 2020 1030 1796 2047 969 1003 1484 2989 964 1155 1291 6180
"100177" 3323 1033 2497 2880 1172 1871 2317 6286 2275 1908 2048 8426
"100182" 5309 1845 4315 4122 2147 2539 3558 9688 2962 3071 3092 16989
"100189605" 3 0 2 0 0 0 0 6 0 0 0 0
"100191037" 2 0 7 0 0 0 0 3 0 0 0 3
"100198" 11274 4316 8520 11057 4581 5484 7423 20359 6231 6548 6717 34296
"100201" 5702 2409 4921 6124 2707 3089 4983 11968 3690 3789 3802 20933
"100206" 5482 2351 4836 5384 2540 2790 3820 9821 2795 3744 3427 18756
"100210" 2423 1015 1883 2377 1028 1280 1678 4377 1377 1625 1418 8673
"100213" 3412 1780 3589 7052 2213 3218 2996 6946 2592 2520 3163 14568
"100216455" 369 166 215 353 114 155 304 937 222 154 222 991
"100216474" 2 1 0 0 0 0 0 0 3 0 0 1
"100217423" 434 122 345 316 124 266 198 942 304 216 285 1064
