Term,es,nes,pval,fdr,geneset_size,matched_size,genes,ledge_genes
REGULATION OF GENE EXPRESSION%GOBP%GO:0010468,0.6527598793189079,1.7450700571074296,0.0,0.09577988042027051,953,65,215257;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;622675;228807;98403;15248;620419;20926;66869;431706;22061;75801;67255;50709;18991;22062;69677;241514;22654;11924;54448;240063;245595;214779;54388;27274;21432;76572;100041294;434423;72807;107970;235956;70887;105590;105594;52668;20555;665433;18011;278672;654801;65020;243529;94187;78321;353310;224893;50708,215257;329002;235469;56707;235682;217732;60599;76131;231866;114741;242109;193452;240064;243906;240186;72180;242466;56744;622675;228807;98403;15248;620419;20926;66869
IMMUNE RESPONSE%GOBP%GO:0006955,0.7167857755392593,1.8018443861543862,0.011904761904761904,0.100796921775618,293,37,215257;237877;26888;56744;20706;73174;319146;15024;19695;330490;12484;244202;243958;14990;14468;266815;233001;239081;69677;545652;12480;54448;243864;246084;667281;13035;18829;219033;630294;14985;435791;224754;545649;58210;668208;545645;15039,215257;237877
INNATE IMMUNE RESPONSE%GOBP%GO:0045087,0.8040207238962501,1.7662062831544343,0.0,0.10293144482498402,159,16,215257;26888;73174;330490;12484;244202;243958;14468;233001;239081;69677;54448;246084;667281;18829;219033,215257;26888
RESPONSE TO CYTOKINE%GOBP%GO:0034097,0.8334514860061937,1.832691537645932,0.0,0.10293144482498402,203,21,215257;240328;240327;226691;56744;15950;319146;628900;238393;623121;14468;69677;545652;54448;18829;21432;20704;435791;545649;668208;545645,215257;240328;240327;226691
SPERMATOGENESIS%GOBP%GO:0007283,-0.6941342446855528,-1.516603772144281,0.02654867256637168,0.10369434647689514,126,20,229227;195434;75801;22446;22445;331416;54388;107970;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
MALE GAMETE GENERATION%GOBP%GO:0048232,-0.6941342446855528,-1.525050817896458,0.01680672268907563,0.10413412160704268,128,20,229227;195434;75801;22446;22445;331416;54388;107970;100039065;100039030;546272;100043216;18011;100042109;627081;27084;574437;27083;22441;70691,70691
INFLAMMATORY RESPONSE%GOBP%GO:0006954,0.836585885362806,1.727751705042371,0.0,0.10554030632976474,114,15,215257;56744;19695;330490;12484;244202;233001;22062;239081;75697;69677;54448;16415;18829;97895,215257
CELLULAR RESPONSE TO CHEMICAL STIMULUS%GOBP%GO:0070887,0.7452079909984514,1.7842619899059242,0.0,0.10687438323561851,611,39,215257;240328;240327;226691;60599;56744;15950;319146;217304;245195;623121;14468;13088;116746;235674;69677;545652;54448;394430;71406;13035;18829;100042295;17071;432867;219033;21432;72082;435791;72303;545649;668208;18011;545645;100041546;170639;14381;353310;246196,215257;240328;240327;226691;60599
RESPONSE TO EXTERNAL STIMULUS%GOBP%GO:0009605,0.6644372156674668,1.6324427860912523,0.011111111111111112,0.1079119986068381,483,33,215257;56744;12095;436440;217304;73244;238393;19695;245195;12484;244202;14468;13088;116746;210108;239081;246729;69677;11924;54448;246084;15122;13035;18829;432867;219033;16639;53973;170779;69165;13587;667373;20556,215257
REGULATION OF MACROMOLECULE METABOLIC PROCESS%GOBP%GO:0060255,0.6250108487913958,1.716075388512712,0.023529411764705882,0.1079119986068381,1351,98,215257;237877;329002;235469;56707;235682;217732;60599;76131;231866;382551;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;622675;228807;98403;15248;20706;620419;20926;66869;72836;319146;628900;431706;319601;22061;238393;75801;271047;12484;238395;67255;93806;50709;18991;22062;238568;246729;383548;69677;241514;22654;545652;11924;20248;54448;240063;245595;214779;54388;27274;78242;18829;20726;21432;76572;20704;100041294;434423;435791;72807;107970;74673;97848;235956;20709;545649;70887;105590;546049;105594;52668;20555;665433;668208;18011;69165;278672;20707;654801;65020;545645;243529;94187;14381;78321;353310;224893;50708,215257;237877;329002;235469;56707;235682;217732;60599;76131;231866;382551;114741;242109;193452;240064;243906;240186;72180;14128;242466;56744;622675;228807;98403;15248;20706;620419;20926;66869;72836;319146
